what,kind,bundleId,bundleVersion,description,time
started,bundle,org.teiid.designer.diagram.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.diagram.ui",1361861343753
started,bundle,org.teiid.designer.jdbc,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.jdbc",1361861343754
started,bundle,org.teiid.designer.legacy,1.0.0.v20110801-0937-H589-Final,"org.teiid.designer.legacy",1361861343754
started,bundle,org.teiid.designer.mapping.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.mapping.ui",1361861343755
started,bundle,org.teiid.designer.metamodels.core,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.core",1361861343755
started,bundle,org.teiid.designer.metamodels.dependency,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.dependency",1361861343756
started,bundle,org.teiid.designer.metamodels.diagram,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.diagram",1361861343757
started,bundle,org.teiid.designer.metamodels.function,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.function",1361861343757
started,bundle,org.teiid.designer.metamodels.relational,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.relational",1361861343758
started,bundle,org.teiid.designer.metamodels.relationship,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.relationship",1361861343759
started,bundle,org.teiid.designer.metamodels.transformation,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.transformation",1361861343759
started,bundle,org.teiid.designer.metamodels.uml2,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.uml2",1361861343760
started,bundle,org.teiid.designer.metamodels.webservice,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.webservice",1361861343761
started,bundle,org.teiid.designer.metamodels.wsdl,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.wsdl",1361861343761
started,bundle,org.teiid.designer.metamodels.xml,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.xml",1361861343762
started,bundle,org.teiid.designer.metamodels.xmlservice,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.xmlservice",1361861343762
started,bundle,org.teiid.designer.metamodels.xsd,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.metamodels.xsd",1361861343763
started,bundle,org.teiid.designer.relationship.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.relationship.ui",1361861343763
started,bundle,org.teiid.designer.sdt,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.sdt",1361861343764
started,bundle,org.teiid.designer.transformation,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.transformation",1361861343764
started,bundle,org.teiid.designer.transformation.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.transformation.ui",1361861343765
started,bundle,org.teiid.designer.udf,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.udf",1361861343765
started,bundle,org.teiid.designer.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.ui",1361861343766
started,bundle,org.teiid.designer.ui.common,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.ui.common",1361861343768
started,bundle,org.teiid.designer.xsd,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.xsd",1361861343768
os,sysinfo,,,"win32",1361861343771
arch,sysinfo,,,"x86",1361861343771
ws,sysinfo,,,"win32",1361861343771
locale,sysinfo,,,"en_PH",1361861343772
processors,sysinfo,,,"2",1361861343772
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361861343772
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1361861343772
java.specification.name,sysinfo,,,"Java Platform API Specification",1361861343772
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361861343772
java.specification.version,sysinfo,,,"1.6",1361861343772
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1361861343772
java.version,sysinfo,,,"1.6.0_31",1361861343772
java.vm.info,sysinfo,,,"mixed mode",1361861343772
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1361861343772
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361861343772
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361861343772
java.vm.specification.version,sysinfo,,,"1.0",1361861343772
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1361861343772
java.vm.version,sysinfo,,,"20.6-b01",1361861343772
started,bundle,org.eclipse.m2e.usagedata,1.0.0.201106061504,"org.eclipse.m2e.usagedata",1361861343781
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361861355005
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1361861355171
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1361861355518
started,bundle,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui",1361861355519
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.201106061504,"org.eclipse.m2e.discovery",1361861355683
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.201106061504,"org.eclipse.m2e.refactoring",1361861355683
stopped,bundle,org.eclipse.m2e.editor,1.0.0.201106061504,"org.eclipse.m2e.editor",1361861355684
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.201106061504,"org.eclipse.m2e.editor.xml",1361861355685
stopped,bundle,org.jboss.tools.maven.cdi,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.cdi",1361861355687
stopped,bundle,org.jboss.tools.maven.hibernate,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.hibernate",1361861355690
stopped,bundle,org.jboss.tools.maven.seam,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.seam",1361861355691
stopped,bundle,org.jboss.tools.maven.jsf,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.jsf",1361861355691
stopped,bundle,org.jboss.tools.maven.portlet,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.portlet",1361861355692
stopped,bundle,org.jboss.tools.maven.project.examples,1.0.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.project.examples",1361861355693
stopped,bundle,org.jboss.tools.maven.ui,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.ui",1361861355693
stopped,bundle,org.jboss.tools.maven.core,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.core",1361861355694
stopped,bundle,org.maven.ide.eclipse.wtp,0.13.1.20110728-1800,"org.maven.ide.eclipse.wtp",1361861355695
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.201106061504,"org.eclipse.m2e.jdt",1361861355695
stopped,bundle,org.eclipse.m2e.launching,1.0.0.201106061504,"org.eclipse.m2e.launching",1361861355696
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.201106061504,"org.eclipse.m2e.core.ui",1361861355697
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.201106061504,"org.eclipse.m2e.usagedata",1361861355697
stopped,bundle,org.eclipse.m2e.core,1.0.0.201106061504,"org.eclipse.m2e.core",1361861355698
stopped,bundle,org.jboss.tools.gwt.ui,1.0.0.v20110729-1921-H119-Final,"org.jboss.tools.gwt.ui",1361861355698
stopped,bundle,org.jboss.tools.gwt.core,1.0.0.v20110729-1921-H119-Final,"org.jboss.tools.gwt.core",1361861355699
stopped,bundle,com.google.gwt.eclipse.core,1.4.2.v201012211742,"com.google.gwt.eclipse.core",1361861355699
stopped,bundle,com.google.gdt.eclipse.core,1.4.2.v201012211742,"com.google.gdt.eclipse.core",1361861355700
stopped,bundle,com.google.gdt.eclipse.platform,1.4.2.v201012211742,"com.google.gdt.eclipse.platform",1361861355700
stopped,bundle,com.google.gdt.eclipse.platform.e36,1.4.2.v201012211742,"com.google.gdt.eclipse.platform.e36",1361861355701
stopped,bundle,org.eclipse.birt.report.debug.ui,2.6.2.r262_v20110127,"org.eclipse.birt.report.debug.ui",1361861355702
stopped,bundle,org.eclipse.birt.report.designer.ui.preview.web,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.preview.web",1361861355702
stopped,bundle,org.eclipse.birt.report.viewer,2.6.2.r262_v20110214,"org.eclipse.birt.report.viewer",1361861355703
stopped,bundle,com.liferay.ide.eclipse.doc,1.2.3.v201103310212,"com.liferay.ide.eclipse.doc",1361861355704
stopped,bundle,com.liferay.ide.eclipse.portlet.jsf.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.portlet.jsf.ui",1361861355704
stopped,bundle,com.liferay.ide.eclipse.portlet.vaadin.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.portlet.vaadin.ui",1361861355705
stopped,bundle,com.liferay.ide.eclipse.portlet.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.portlet.ui",1361861355705
stopped,bundle,com.liferay.ide.eclipse.server.tomcat.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.server.tomcat.ui",1361861355705
stopped,bundle,com.liferay.ide.eclipse.project.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.project.ui",1361861355706
stopped,bundle,com.liferay.ide.eclipse.portlet.jsf.core,1.2.3.v201103310212,"com.liferay.ide.eclipse.portlet.jsf.core",1361861355706
stopped,bundle,com.liferay.ide.eclipse.portlet.vaadin.core,1.2.3.v201103310212,"com.liferay.ide.eclipse.portlet.vaadin.core",1361861355707
stopped,bundle,com.liferay.ide.eclipse.portlet.core,1.5.0.v201103310212,"com.liferay.ide.eclipse.portlet.core",1361861355707
stopped,bundle,com.liferay.ide.eclipse.layouttpl.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.layouttpl.ui",1361861355708
stopped,bundle,com.liferay.ide.eclipse.layouttpl.core,1.2.3.v201103310212,"com.liferay.ide.eclipse.layouttpl.core",1361861355708
stopped,bundle,com.liferay.ide.eclipse.server.tomcat.core,1.2.3.v201103310212,"com.liferay.ide.eclipse.server.tomcat.core",1361861355709
stopped,bundle,com.liferay.ide.eclipse.server.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.server.ui",1361861355709
stopped,bundle,com.liferay.ide.eclipse.theme.core,1.2.3.v201103310212,"com.liferay.ide.eclipse.theme.core",1361861355710
stopped,bundle,com.liferay.ide.eclipse.project.core,1.5.0.v201103310212,"com.liferay.ide.eclipse.project.core",1361861355710
stopped,bundle,com.liferay.ide.eclipse.sdk,1.2.3.v201103310212,"com.liferay.ide.eclipse.sdk",1361861355711
stopped,bundle,com.liferay.ide.eclipse.server.core,1.2.3.v201103310212,"com.liferay.ide.eclipse.server.core",1361861355711
stopped,bundle,com.liferay.ide.eclipse.ui.snippets,1.2.3.v201103310212,"com.liferay.ide.eclipse.ui.snippets",1361861355711
stopped,bundle,com.liferay.ide.eclipse.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.ui",1361861355711
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.hsqldb.ui",1361861355712
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1361861355713
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.postgresql.ui",1361861355714
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sqlite.ui",1361861355714
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1361861355715
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1361861355716
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.jpt.ui",1361861355717
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1361861355718
stopped,bundle,org.jboss.tools.seam.ui,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.ui",1361861355718
stopped,bundle,org.teiid.designer.dqp.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.dqp.ui",1361861355720
stopped,bundle,org.teiid.designer.jdbc.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.jdbc.ui",1361861355720
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201004070709,"org.eclipse.datatools.connectivity.db.generic.ui",1361861355721
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.ui,2.6.2.r262_v20110127,"org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.ui",1361861355722
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201007080903,"org.eclipse.datatools.connectivity.apache.derby.ui",1361861355722
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1361861355724
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111150,"org.eclipse.datatools.enablement.sybase.asa.ui",1361861355724
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1361861355725
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090458,"org.eclipse.datatools.enablement.sybase.ui",1361861355726
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.0.v201005250945,"org.eclipse.datatools.sqltools.data.ui",1361861355726
stopped,bundle,org.teiid.datatools.connectivity.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.datatools.connectivity.ui",1361861355727
stopped,bundle,org.teiid.datatools.connectivity,7.4.1.v20110801-0937-H589-Final,"org.teiid.datatools.connectivity",1361861355728
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201009280455,"org.eclipse.datatools.connectivity.sqm.server.ui",1361861355728
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.1.v201002270530,"org.eclipse.datatools.sqltools.ddlgen.ui",1361861355729
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1361861355729
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1361861355730
